00,39.9,947.0,785.7,821.7
00:10,37.9,943.6,791.2,813.8
00:20,37.7,940.3,791.1,801.9
00:30,37.6,929.9,797.4,799.8
00:40,37.4,927.4,795.9,790.0
00:50,37.2,925.1,791.2,790.2
01,37.1,920.6,789.2,765.7
01:10,37.1,914.0,773.4,756.7
01:20,36.2,922.7,761.9,760.3
01:30,35.8,901.7,778.8,750.2
01:40,35.5,913.8,783.9,735.4
01:50,35.8,887.3,768.2,747.4
02,35.6,896.3,767.2,734.8
02:10,35.3,907.8,770.3,727.8
02:20,35.1,884.5,764.7,731.9
02:30,34.3,890.6,768.0,719.9
02:40,35.2,885.5,757.5,715.9
02:50,34.7,877.5,770.6,722.7
03,34.0,886.6,767.6,701.8
03:10,34.1,874.7,755.5,719.3
03:20,34.4,864.0,750.0,704.4
03:30,34.5,864.7,753.0,711.3
03:40,34.5,860.8,753.2,712.7
03:50,34.2,862.6,749.4,701.6
04,34.6,855.2,736.2,697.9
04:10,33.3,855.9,757.5,707.5
04:20,34.4,856.4,758.7,698.1
04:30,34.2,864.1,750.1,708.6
04:40,34.2,862.2,749.9,704.0
04:50,33.9,878.2,741.7,697.7
05,34.8,851.5,734.1,706.8
05:10,34.4,863.2,749.3,705.1
05:20,33.9,851.0,729.6,709.8
05:30,34.4,854.0,747.0,697.7
05:40,34.2,839.4,735.2,708.5
05:50,34.1,830.6,738.2,708.8
06,32.6,835.4,726.9,696.1
06:10,33.5,838.5,734.2,711.9
06:20,33.8,838.3,749.8,702.6
06:30,34.7,831.8,746.3,714.5
06:40,35.5,835.3,742.2,721.7
06:50,36.3,813.1,723.5,736.1
07,34.5,835.5,750.4,718.2
07:10,35.9,847.3,737.6,745.5
07:20,36.7,838.1,727.1,764.0
07:30,34.4,839.5,745.1,759.7
07:40,33.5,828.7,757.2,769.9
07:50,35.1,844.2,736.5,755.6
08,35.2,870.9,743.2,768.6
08:10,38.6,873.2,737.4,803.7
08:20,40.7,857.1,734.5,820.4
08:30,39.0,861.1,720.2,827.6
08:40,37.2,900.3,719.9,832.3
08:50,42.8,897.3,736.6,829.5
09,40.6,935.1,730.4,827.1
09:10,40.1,908.0,734.8,856.4
09:20,38.5,913.9,753.5,847.1
09:30,40.0,908.3,740.2,855.7
09:40,40.1,927.4,770.4,858.1
09:50,43.1,931.8,765.3,859.1
10,42.3,967.1,775.7,866.5
10:10,44.6,951.3,759.9,878.0
10:20,42.0,919.2,770.7,903.8
10:30,43.2,940.2,771.8,899.6
10:40,45.0,954.0,782.4,911.2
10:50,44.3,959.4,752.8,944.4
11,44.1,946.7,763.2,951.3
11:10,44.3,977.7,773.6,957.2
11:20,44.1,968.9,771.4,963.7
11:30,44.6,981.4,787.3,964.1
11:40,45.3,997.4,799.9,952.7
11:50,47.6,976.8,785.7,955.9
12,47.4,982.5,789.1,949.8
12:10,44.8,1017.4,777.5,949.3
12:20,42.9,1017.9,763.4,954.4
12:30,44.7,991.7,773.7,950.4
12:40,41.6,977.8,754.1,955.3
12:50,46.7,996.2,761.6,953.8
13,44.7,979.6,760.5,959.0
13:10,44.0,997.9,767.5,948.9
13:20,43.3,1009.5,784.6,945.3
13:30,39.0,1017.4,761.0,952.5
13:40,44.1,1022.1,784.6,939.1
13:50,42.6,1017.1,795.8,925.9
14,43.9,1030.7,803.4,940.9
14:10,42.7,1055.4,794.8,942.3
14:20,44.0,929.4,792.6,964.1
14:30,43.0,1014.2,790.8,934.7
14:40,40.3,1042.3,786.6,941.0
14:50,39.8,1070.8,805.2,923.8
15,43.2,1050.4,816.6,936.4
15:10,44.4,1027.4,805.4,932.5
15:20,43.3,1018.3,808.8,924.7
15:30,43.9,1025.2,792.2,940.5
15:40,42.9,1029.8,819.5,928.1
15:50,44.4,991.4,808.5,946.0
16,43.1,1016.4,816.3,932.8
16:10,43.1,987.2,823.4,936.7
16:20,42.2,1025.0,810.7,939.3
16:30,43.5,1027.4,831.9,929.4
16:40,43.9,1031.5,833.5,923.4
16:50,44.2,1036.2,817.1,935.5
17,44.2,1051.1,831.7,947.9
17:10,43.7,1041.2,855.0,944.2
17:20,43.5,1037.0,840.3,950.5
17:30,43.5,1034.8,850.2,952.7
