00,36.5,968.4,915.0,867.2
00:10,36.1,982.5,917.7,873.4
00:20,36.3,987.8,914.8,869.7
00:30,35.7,973.6,911.5,869.4
00:40,35.2,970.4,919.8,848.3
00:50,35.7,955.0,906.8,854.1
01,34.5,955.5,907.4,843.5
01:10,34.1,957.1,900.4,839.7
01:20,33.9,963.9,895.0,830.3
01:30,34.7,946.4,886.0,828.7
01:40,34.1,952.6,882.7,825.2
01:50,33.7,942.2,885.3,815.4
02,33.8,936.0,881.8,810.8
02:10,34.3,953.4,869.9,801.3
02:20,33.4,935.2,868.2,813.4
02:30,33.5,928.4,864.7,808.5
02:40,33.4,930.8,861.0,797.2
02:50,32.9,927.4,859.5,792.3
03,33.2,922.3,853.5,783.4
03:10,32.6,922.4,865.0,783.7
03:20,31.8,927.7,860.3,770.5
03:30,32.2,901.8,864.1,781.6
03:40,32.7,908.3,854.3,776.4
03:50,32.5,905.3,864.4,780.3
04,33.0,891.7,845.7,780.2
04:10,32.7,906.9,851.0,778.2
04:20,32.8,908.6,848.7,762.7
04:30,32.6,915.1,852.1,773.6
04:40,32.1,911.4,854.5,763.0
04:50,33.2,906.4,845.9,762.8
05,33.0,902.1,862.5,775.3
05:10,33.5,904.0,868.8,762.3
05:20,34.1,899.6,864.8,773.4
05:30,32.9,901.8,849.8,759.2
05:40,33.4,894.6,866.0,776.1
05:50,32.8,887.9,872.7,762.9
06,33.6,868.3,877.1,774.7
06:10,35.8,851.7,874.6,797.8
06:20,35.1,844.6,860.4,809.5
06:30,34.6,845.0,870.6,818.8
06:40,35.3,858.0,874.0,832.2
06:50,37.1,860.2,866.1,838.8
07,37.4,863.5,880.6,842.5
07:10,37.2,873.1,881.5,872.7
07:20,36.6,887.6,885.4,878.1
07:30,36.5,887.3,895.8,902.3
07:40,38.4,900.0,907.6,915.9
07:50,39.0,930.7,937.5,946.5
08,37.5,956.0,966.2,967.4
08:10,33.1,1012.8,998.8,1009.1
08:20,35.0,1021.7,1012.6,1035.9
08:30,33.6,1042.4,1006.8,1059.9
08:40,35.9,1056.9,1029.1,1066.1
08:50,36.7,1081.6,1024.4,1079.6
09,37.2,1081.3,1037.3,1102.8
09:10,37.4,1100.0,1021.6,1104.5
09:20,40.5,1115.0,1012.5,1118.1
09:30,40.1,1109.7,1012.5,1126.4
09:40,40.5,1112.4,1024.4,1136.8
09:50,40.1,1140.3,1036.1,1135.5
10,38.9,1152.6,1027.6,1136.5
10:10,43.4,1128.0,1032.4,1162.4
10:20,44.9,1128.4,1038.6,1174.3
10:30,43.6,1145.4,1048.2,1183.5
10:40,47.8,1130.4,1029.8,1193.9
10:50,42.8,1160.0,1036.1,1206.2
11,48.2,1147.5,1049.3,1222.8
11:12,41.8,1192.3,1051.7,1220.7
11:22,43.5,1197.7,1061.9,1227.1
11:32,44.1,1199.2,1060.7,1221.3
11:40,46.1,1190.8,1048.3,1226.9
11:50,43.6,1192.4,1045.4,1225.8
12,44.2,1171.6,1014.7,1207.3
12:12,47.5,1117.0,992.6,1212.2
12:22,46.3,1128.9,990.6,1205.9
12:32,47.7,1136.6,986.1,1204.7
12:40,46.0,1148.7,981.9,1213.4
12:50,46.2,1152.0,987.4,1216.0
13,46.5,1151.8,1005.0,1225.7
13:12,43.0,1211.1,1041.4,1236.4
13:20,40.0,1216.4,1058.3,1244.5
13:30,42.7,1220.5,1047.7,1248.6
13:40,43.4,1230.3,1061.2,1258.3
13:50,43.6,1221.4,1049.1,1270.4
14,45.2,1226.7,1048.5,1263.2
14:10,44.3,1230.8,1048.5,1249.4
14:20,45.3,1224.4,1058.7,1265.5
14:30,46.8,1231.2,1059.4,1261.6
14:40,43.4,1243.0,1059.9,1260.8
14:50,43.0,1236.8,1065.9,1257.1
15,44.0,1226.7,1049.3,1252.6
15:10,43.3,1222.4,1053.9,1248.4
15:20,46.0,1229.0,1061.2,1253.7
15:30,45.4,1237.9,1091.8,1237.5
15:40,44.7,1222.5,1066.1,1236.7
15:50,44.1,1234.1,1063.5,1246.2
16,45.9,1234.7,1086.1,1252.5
16:10,45.8,1265.8,1080.1,1228.1
16:20,45.5,1255.1,1072.2,1236.9
16:30,47.5,1228.3,1078.6,1249.9
16:40,42.1,1223.4,1067.2,1232.9
16:50,44.4,1217.7,1060.6,1226.3
17,43.3,1211.1,1064.1,1216.6
17:10,42.1,1185.3,1031.7,1216.4
17:20,42.1,1191.5,1006.5,1221.2
17:30,41.4,1174.2,1031.9,1203.2
17:40,41.8,1164.1,1026.1,1210.2
17:50,41.7,1167.0,1020.5,1209.8
18,43.1,1169.7,1030.3,1206.2
18:10,44.6,1169.9,1038.2,1196.3
18:20,44.1,1186.9,1045.3,1188.1
18:30,44.7,1180.7,1046.0,1200.8
18:40,45.7,1171.5,1037.1,1191.7
18:50,44.3,1172.4,1050.3,1194.1
19,46.4,1170.7,1028.8,1187.6
19:10,45.9,1160.6,1044.3,1181.6
19:20,45.3,1151.7,1038.8,1181.6
19:30,44.3,1162.0,1036.3,1175.9
19:40,45.1,1144.8,1035.9,1173.2
19:50,44.7,1139.0,1029.0,1165.1
20,43.5,1145.3,1026.8,1165.3
20:10,44.5,1158.8,1021.8,1145.8
20:20,44.5,1150.4,1029.5,1144.2
20:30,47.1,1148.4,1017.3,1145.5
20:40,43.9,1142.7,1019.3,1126.2
20:50,42.7,1141.3,1006.8,1130.9
21,44.2,1141.7,997.6,1133.3
21:10,46.9,1107.6,1004.5,1134.3
21:20,46.3,1102.2,995.2,1126.4
21:30,45.6,1099.4,997.2,1130.3
21:40,46.8,1079.3,990.9,1113.0
21:50,46.6,1082.2,977.9,1106.3
22,45.5,1070.4,956.0,1094.7
22:10,43.0,1047.3,945.7,1067.6
22:20,42.7,1049.2,940.7,1049.7
22:30,41.4,1046.1,932.7,1037.2
22:40,40.3,1042.3,923.2,1024.9
22:50,39.8,1027.6,918.9,1020.8
23,39.9,1020.8,908.7,1008.0
23:10,38.3,1017.4,902.6,986.3
23:20,37.1,1005.6,899.1,978.4
23:30,37.9,1007.3,896.8,970.4
23:40,35.9,999.4,889.3,947.4
23:50,36.9,986.4,884.7,947.2
